일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가격
2010-03-30,8.3,3.3,14.2,0.0,2.2,50.1,1445
2010-03-31,7.3,5.9,8.7,9.5,2.3,84.9,1450
2010-04-01,7.0,3.6,9.9,1.0,2.7,74.3,1504
2010-04-02,5.5,1.3,10.3,0.0,3.7,43.1,1344
2010-04-03,5.0,1.1,9.5,0.0,3.1,30.1,1344
2010-04-04,7.7,2.3,14.5,0.0,2.6,38.9,1344
2010-04-05,10.4,4.8,14.8,0.0,2.2,59.9,1344
2010-04-06,8.5,4.8,11.7,0.0,3.6,52.9,1344
2010-04-07,7.3,2.3,12.6,0.0,2.6,39.1,1344
2010-04-08,9.1,3.3,15.5,0.0,2.3,43.5,1544
2010-04-09,11.4,5.4,17.4,0.0,2.0,50.4,1644
2010-04-10,10.7,8.8,13.5,0.0,2.0,62.3,1644
2010-04-11,13.6,6.7,19.9,0.1,2.1,50.8,1644
2010-04-12,13.2,9.6,18.5,7.0,3.0,53.6,1784
2010-04-13,4.4,2.4,9.6,1.0,5.2,50.1,1784
2010-04-14,4.0,1.2,6.4,0.0,3.4,28.8,1784
2010-04-15,7.0,1.6,12.6,0.0,2.4,34.0,1524
2010-04-16,8.0,4.0,13.6,0.0,2.7,39.8,1482
2010-04-17,7.6,4.0,12.0,0.0,2.3,63.4,1482
2010-04-18,12.0,6.2,17.0,0.0,2.7,54.3,1482
2010-04-19,14.7,12.7,17.4,0.2,1.9,55.6,1484
2010-04-20,16.8,13.3,20.7,0.0,2.1,68.0,1484
2010-04-21,14.1,10.7,18.5,4.0,3.0,69.9,1484
2010-04-22,10.7,9.1,12.7,4.5,2.5,66.9,1624
2010-04-23,9.3,6.6,14.3,4.0,1.9,71.4,1624
2010-04-24,11.1,5.4,16.8,0.0,2.6,50.1,1624
2010-04-25,13.6,6.9,19.4,0.0,2.0,33.5,1624
2010-04-26,12.4,10.2,17.8,27.0,1.9,63.4,1744
2010-04-27,7.5,5.1,10.9,4.5,5.9,71.5,1744
2010-04-28,5.0,3.3,7.8,9.5,3.4,77.5,1664
2010-04-29,8.5,3.4,12.4,0.0,4.2,62.0,1464
2010-04-30,9.6,7.0,13.2,0.0,3.8,63.3,1364
2010-05-01,12.3,5.8,17.5,0.0,3.1,49.5,1364
2010-05-02,17.2,9.9,23.3,0.0,2.7,43.4,1364
2010-05-03,18.2,16.5,19.5,0.0,3.9,79.5,1584
2010-05-04,20.2,18.2,25.3,0.0,3.4,70.3,1584
2010-05-05,20.6,15.4,25.2,0.0,2.3,57.5,1584
2010-05-06,13.4,10.4,19.8,18.0,4.6,83.4,1584
2010-05-07,14.6,9.6,20.6,0.0,3.7,52.8,1624
2010-05-08,16.7,12.1,23.0,0.0,2.7,49.9,1624
2010-05-09,19.0,13.4,25.2,0.0,2.0,45.8,1624
2010-05-10,16.1,12.7,20.9,0.1,3.0,51.1,1744
2010-05-11,12.9,10.5,17.0,0.4,2.2,60.4,1804
2010-05-12,13.8,8.7,19.6,0.0,2.6,64.5,1804
2010-05-13,16.0,10.2,21.9,0.0,1.6,54.8,1724
2010-05-14,18.0,12.1,23.7,0.0,2.3,40.5,1584
2010-05-15,17.0,12.9,21.9,0.0,2.5,49.4,1584
2010-05-16,18.2,12.6,25.1,0.0,2.3,48.0,1584
2010-05-17,20.3,14.4,27.0,1.0,2.3,47.9,1604
2010-05-18,17.3,15.0,19.4,59.0,2.5,94.4,1604
2010-05-19,17.1,14.5,20.9,0.5,2.8,82.5,1604
2010-05-20,19.5,13.6,25.4,0.0,2.7,65.6,1704
2010-05-21,22.1,14.9,28.6,0.0,1.8,49.8,1704
2010-05-22,20.1,15.7,25.5,5.5,1.8,61.1,1704
2010-05-23,16.1,14.6,18.1,21.5,4.7,78.0,1704
2010-05-24,13.1,12.2,15.8,15.5,3.2,93.1,1824
2010-05-25,14.9,12.1,18.8,0.5,1.7,85.6,1884
2010-05-26,17.4,14.0,21.7,0.5,2.8,60.8,1884
2010-05-27,17.4,11.5,24.0,0.0,2.5,53.0,1844
2010-05-28,17.3,14.5,20.4,0.0,1.9,66.4,1844
2010-05-29,18.7,14.6,23.3,0.0,1.7,63.1,1844
